Name,Embarked
"Braund, Mr. Owen Harris",S
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",C
"Heikkinen, Miss. Laina",S
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",S
"Allen, Mr. William Henry",S
"Moran, Mr. James",Q
"McCarthy, Mr. Timothy J",S
"Palsson, Master. Gosta Leonard",S
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",S
"Nasser, Mrs. Nicholas (Adele Achem)",C
"Sandstrom, Miss. Marguerite Rut",S
"Bonnell, Miss. Elizabeth",S
"Saundercock, Mr. William Henry",S
"Andersson, Mr. Anders Johan",S
"Vestrom, Miss. Hulda Amanda Adolfina",S
"Hewlett, Mrs. (Mary D Kingcome) ",S
"Rice, Master. Eugene",Q
"Williams, Mr. Charles Eugene",S
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",S
"Masselmani, Mrs. Fatima",C
"Fynney, Mr. Joseph J",S
"Beesley, Mr. Lawrence",S
"McGowan, Miss. Anna ""Annie""",Q
"Sloper, Mr. William Thompson",S
"Palsson, Miss. Torborg Danira",S
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",S
"Emir, Mr. Farred Chehab",C
"Fortune, Mr. Charles Alexander",S
"O'Dwyer, Miss. Ellen ""Nellie""",Q
"Todoroff, Mr. Lalio",S
"Uruchurtu, Don. Manuel E",C
"Spencer, Mrs. William Augustus (Marie Eugenie)",C
"Glynn, Miss. Mary Agatha",Q
"Wheadon, Mr. Edward H",S
"Meyer, Mr. Edgar Joseph",C
"Holverson, Mr. Alexander Oskar",S
"Mamee, Mr. Hanna",C
"Cann, Mr. Ernest Charles",S
"Vander Planke, Miss. Augusta Maria",S
"Nicola-Yarred, Miss. Jamila",C
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",S
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",S
"Kraeff, Mr. Theodor",C
"Laroche, Miss. Simonne Marie Anne Andree",C
"Devaney, Miss. Margaret Delia",Q
"Rogers, Mr. William John",S
"Lennon, Mr. Denis",Q
"O'Driscoll, Miss. Bridget",Q
"Samaan, Mr. Youssef",C
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",S
"Panula, Master. Juha Niilo",S
"Nosworthy, Mr. Richard Cater",S
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",C
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",S
"Ostby, Mr. Engelhart Cornelius",C
"Woolner, Mr. Hugh",S
"Rugg, Miss. Emily",S
"Novel, Mr. Mansouer",C
"West, Miss. Constance Mirium",S
"Goodwin, Master. William Frederick",S
"Sirayanian, Mr. Orsen",C
"Icard, Miss. Amelie",
"Harris, Mr. Henry Birkhardt",S
"Skoog, Master. Harald",S
"Stewart, Mr. Albert A",C
"Moubarek, Master. Gerios",C
"Nye, Mrs. (Elizabeth Ramell)",S
"Crease, Mr. Ernest James",S
"Andersson, Miss. Erna Alexandra",S
"Kink, Mr. Vincenz",S
"Jenkin, Mr. Stephen Curnow",S
"Goodwin, Miss. Lillian Amy",S
"Hood, Mr. Ambrose Jr",S
"Chronopoulos, Mr. Apostolos",C
"Bing, Mr. Lee",S
"Moen, Mr. Sigurd Hansen",S
"Staneff, Mr. Ivan",S
"Moutal, Mr. Rahamin Haim",S
"Caldwell, Master. Alden Gates",S
"Dowdell, Miss. Elizabeth",S
"Waelens, Mr. Achille",S
"Sheerlinck, Mr. Jan Baptist",S
"McDermott, Miss. Brigdet Delia",Q
"Carrau, Mr. Francisco M",S
"Ilett, Miss. Bertha",S
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",S
"Ford, Mr. William Neal",S
"Slocovski, Mr. Selman Francis",S
"Fortune, Miss. Mabel Helen",S
"Celotti, Mr. Francesco",S
"Christmann, Mr. Emil",S
"Andreasson, Mr. Paul Edvin",S
"Chaffee, Mr. Herbert Fuller",S
"Dean, Mr. Bertram Frank",S
"Coxon, Mr. Daniel",S
"Shorney, Mr. Charles Joseph",S
"Goldschmidt, Mr. George B",C
"Greenfield, Mr. William Bertram",C
"Doling, Mrs. John T (Ada Julia Bone)",S
"Kantor, Mr. Sinai",S
"Petranec, Miss. Matilda",S
"Petroff, Mr. Pastcho (""Pentcho"")",S
"White, Mr. Richard Frasar",S
"Johansson, Mr. Gustaf Joel",S
"Gustafsson, Mr. Anders Vilhelm",S
"Mionoff, Mr. Stoytcho",S
"Salkjelsvik, Miss. Anna Kristine",S
"Moss, Mr. Albert Johan",S
"Rekic, Mr. Tido",S
"Moran, Miss. Bertha",Q
"Porter, Mr. Walter Chamberlain",S
"Zabour, Miss. Hileni",C
